[2023-12-04T23:15:09Z INFO  miner] peer id: 12D3KooWPeFMaz26gnwmMfz9gJy1UkUEtJSPwv1gFNr43EuztCW4
[2023-12-04T23:15:12Z INFO  miner] registered on chain
[2023-12-04T23:16:28Z INFO  miner] put record message
[2023-12-04T23:17:04Z INFO  miner] put record message
[2023-12-04T23:17:18Z INFO  miner] put record message
[2023-12-04T23:17:21Z INFO  miner] put record message
[2023-12-04T23:17:32Z INFO  miner] put record message
[2023-12-04T23:17:32Z INFO  miner] put record message
[2023-12-04T23:17:35Z INFO  miner] put record message
[2023-12-04T23:17:35Z INFO  miner] put record message
[2023-12-04T23:17:49Z INFO  miner] put record message
[2023-12-04T23:17:52Z INFO  miner] put record message
[2023-12-04T23:17:52Z INFO  miner] put record message
[2023-12-04T23:17:52Z INFO  miner] put record message
[2023-12-04T23:17:55Z INFO  miner] put record message
[2023-12-04T23:17:56Z INFO  miner] put record message
